molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1437943,Cc1sc(NC(=O)CSc2nnc3scc(-c4ccccc4)n23)c(C#N)c1C,50000,inactive
CHEMBL1419387,CCc1nc(SCC(=O)Nc2ccc3c(c2)OCCO3)c2oc3ccccc3c2n1,13926.8,inactive
CHEMBL1330121,CCOC(=O)c1c(NC(=O)Cn2nnc(-c3ccccc3)n2)sc(C(C)=O)c1C,23100.9,inactive
CHEMBL1528655,N#Cc1c(NC(=O)CSc2ncnc3c2cnn3-c2ccccc2Cl)sc2c1CCCC2,50000,inactive
CHEMBL1529788,O=C1CC(c2ccoc2)CC(Nc2ccccc2)=C1C(=O)Nc1ccccc1,50000,inactive
CHEMBL1460841,O=C(c1ccco1)[C@@H]1[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]2C2c3ccccc3C=CN21,23373.1,inactive
CHEMBL1361464,Oc1nc(SCc2ccc(F)cc2)nc2c1cnn2-c1ccc(F)cc1,50000,inactive
CHEMBL1578559,N#Cc1c(NC(=O)CSc2nnnn2C2CCCCC2)sc2c1CCCC2,50000,inactive
CHEMBL1440883,CC(=O)C1=C(C)NC(SCC(=O)c2ccc(Cl)c(Cl)c2)=C(C#N)C1c1ccco1,50000,inactive
CHEMBL3190584,CCCO/C(O)=C1\C(C)=NC2=C(C(=O)CCC2)C1c1cccc(OC)c1OC,33938.6,inactive
CHEMBL1527746,O=C(NCc1ccco1)c1cc2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2n1,20376,inactive
CHEMBL1410132,CC1CCCN(S(=O)(=O)c2ccc(NC(=O)Cn3nnc(-c4ccccc4F)n3)cc2)C1,41626.7,inactive
CHEMBL1383713,Nc1nn(S(=O)(=O)c2cccc3nsnc23)cc1-c1ccc(Br)cc1,50000,inactive
CHEMBL1540610,COC(=O)c1ccccc1NC(=O)c1sc(=S)n(C)c1N,50000,inactive
CHEMBL1462119,CCOC(=O)c1cnc(SCC(=O)Nc2sc(C)c(C)c2C#N)nc1N,18728.9,inactive
CHEMBL1322572,Cc1sc(NC(=O)CSc2nnc(COc3ccc(Cl)cc3)n2C)c(C#N)c1C,50000,inactive
CHEMBL1609890,Cc1cccc2cc(C(c3nnnn3C(C)(C)C)N3CCN(C(=O)c4ccco4)CC3)c(O)nc12,17282,inactive
CHEMBL1541809,CSc1nc(O)c2cnn(-c3ccc(C)c(C)c3)c2n1,50000,inactive
CHEMBL1425173,N#Cc1c(NC(=O)CCN2C(=O)c3ccccc3C2=O)oc(-c2ccccc2)c1-c1ccccc1,50000,inactive
CHEMBL1528716,Cc1sc(NC(=O)CSc2nnc(-c3ccccc3)o2)c(C#N)c1C,44797.8,inactive
CHEMBL1560511,Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,50000,inactive
CHEMBL1611354,COc1ccc(NC(=O)c2c(NC(=O)CNCc3ccco3)sc3c2CCC3)c(OC)c1,35796.2,inactive
CHEMBL1455209,Cc1nnc(SCC(=O)Nc2sc(C)c(C)c2C#N)nc1O,50000,inactive
CHEMBL1543947,CCCCNC(=O)c1cnc2ccc(S(=O)(=O)Nc3ccc(OCC)cc3)cc2c1O,50000,inactive
CHEMBL1347594,CCOC(=O)c1c(NC(=O)c2cccs2)sc(C)c1CC,30395.3,inactive
CHEMBL1307842,Cc1sc(NC(=O)CSc2nnc(-c3ccc(F)cc3)o2)c(C#N)c1C,10487.3,inactive
CHEMBL1607205,O=C(NCc1ccco1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Br)cc1)N2,50000,inactive
CHEMBL1522605,CC1=CC(C)(C)Nc2cc(C)c(C)cc21,50000,inactive
CHEMBL1347985,COc1ccc(C2CC(=O)N3CN(c4ccc(C)c(Cl)c4)CSC3=C2C#N)cc1OC,50000,inactive
CHEMBL1535124,O=C(CSc1nc2c(c(=O)n1-c1ccc(Cl)cc1)SCC2)Nc1ccc2c(c1)OCCO2,38559,inactive
CHEMBL1427879,CCOC(=O)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,23329.7,inactive
CHEMBL1535453,CN(C)c1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2C2CCCCC2)cc1,30229.7,inactive
CHEMBL1601197,O=C(Nc1nnc(-c2ccco2)s1)C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,50000,inactive
CHEMBL1388979,COc1ccc(CNS(=O)(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1,50000,inactive
CHEMBL1451988,O=C(NCc1ccccc1)c1cnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc2c1O,50000,inactive
CHEMBL1413198,CCOC(=O)c1c(NC(=O)CSc2nnc(CNc3ccc(F)cc3)o2)sc(C)c1C,29128,inactive
CHEMBL1469705,CCCCn1c2c(c3ccccc31)CCc1nonc1-2,50000,inactive
CHEMBL1548217,COc1cccc(NC(=O)c2ccccc2-c2nc(-c3ccc(Cl)cc3)no2)c1,9002.3,intermediate
CHEMBL1563909,O=S(=O)(c1cccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)c1)N1CCCCC1,18282.8,inactive
CHEMBL3189877,Cc1ccc(-c2nc3s/c(=C\c4ccco4)c(=O)n3n2)cc1,22562.5,inactive
