molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1440883,inactive,4.301029995663981,CC(=O)C1=C(C)NC(SCC(=O)c2ccc(Cl)c(Cl)c2)=C(C#N)C1c1ccco1,447.3430000000002,5.487480000000004,1.0,6.0
CHEMBL1471212,inactive,4.434819477363658,CC(=O)N1CCN(c2ccccc2NC(=O)COc2cc(C)ccc2C(C)C)CC1,409.53000000000026,3.804420000000003,1.0,4.0
CHEMBL1522605,inactive,4.301029995663981,CC1=CC(C)(C)Nc2cc(C)c(C)cc21,201.313,3.910840000000003,1.0,1.0
CHEMBL1410132,inactive,4.380628016895996,CC1CCCN(S(=O)(=O)c2ccc(NC(=O)Cn3nnc(-c4ccccc4F)n3)cc2)C1,458.5190000000001,2.538500000000001,1.0,6.0
CHEMBL1543947,inactive,4.301029995663981,CCCCNC(=O)c1cnc2ccc(S(=O)(=O)Nc3ccc(OCC)cc3)cc2c1O,443.52500000000015,3.6698000000000026,3.0,6.0
CHEMBL1469705,inactive,4.301029995663981,CCCCn1c2c(c3ccccc31)CCc1nonc1-2,267.332,3.5900000000000025,0.0,3.0
CHEMBL3190584,inactive,4.469306076715309,CCCO/C(O)=C1\C(C)=NC2=C(C(=O)CCC2)C1c1cccc(OC)c1OC,385.4600000000001,4.465200000000004,1.0,6.0
CHEMBL1413198,inactive,4.535689334074113,CCOC(=O)c1c(NC(=O)CSc2nnc(CNc3ccc(F)cc3)o2)sc(C)c1C,464.54400000000015,4.406640000000004,2.0,9.0
CHEMBL1330121,inactive,4.636371099873238,CCOC(=O)c1c(NC(=O)Cn2nnc(-c3ccccc3)n2)sc(C(C)=O)c1C,413.4590000000002,2.7280200000000008,1.0,8.0
CHEMBL1347594,inactive,4.5171935657948685,CCOC(=O)c1c(NC(=O)c2cccs2)sc(C)c1CC,323.43900000000014,4.109420000000004,1.0,5.0
CHEMBL1427879,inactive,4.632090845826148,CCOC(=O)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,347.396,2.3981200000000005,2.0,7.0
CHEMBL1462119,inactive,4.72748772918957,CCOC(=O)c1cnc(SCC(=O)Nc2sc(C)c(C)c2C#N)nc1N,391.4780000000002,2.51632,2.0,9.0
CHEMBL1419387,inactive,4.8561486611777855,CCc1nc(SCC(=O)Nc2ccc3c(c2)OCCO3)c2oc3ccccc3c2n1,421.47800000000024,4.440400000000003,1.0,7.0
CHEMBL1535453,inactive,4.519566162745804,CN(C)c1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2C2CCCCC2)cc1,436.5810000000003,4.698500000000004,1.0,5.0
CHEMBL1540610,inactive,4.301029995663981,COC(=O)c1ccccc1NC(=O)c1sc(=S)n(C)c1N,323.39900000000006,2.4371899999999993,2.0,6.0
CHEMBL1347985,inactive,4.301029995663981,COc1ccc(C2CC(=O)N3CN(c4ccc(C)c(Cl)c4)CSC3=C2C#N)cc1OC,455.9670000000002,4.885100000000005,0.0,6.0
CHEMBL1388979,inactive,4.301029995663981,COc1ccc(CNS(=O)(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1,424.54400000000027,2.3483,1.0,5.0
CHEMBL1611354,inactive,4.446163074099818,COc1ccc(NC(=O)c2c(NC(=O)CNCc3ccco3)sc3c2CCC3)c(OC)c1,455.5360000000003,3.827600000000003,3.0,7.0
CHEMBL1407201,inactive,4.436240153806798,COc1ccc2nc(NC(=O)CCc3nc(-c4ccccc4F)no3)sc2c1,398.41900000000004,4.065300000000003,1.0,7.0
CHEMBL1541809,inactive,4.301029995663981,CSc1nc(O)c2cnn(-c3ccc(C)c(C)c3)c2n1,286.36,2.859840000000001,1.0,5.0
CHEMBL4635160,inactive,5.0,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,524.0860000000004,5.442920000000005,1.0,6.0
CHEMBL3189877,inactive,4.646612780750266,Cc1ccc(-c2nc3s/c(=C\c4ccco4)c(=O)n3n2)cc1,309.35,2.2671200000000002,0.0,5.0
CHEMBL1609890,inactive,4.762405999200753,Cc1cccc2cc(C(c3nnnn3C(C)(C)C)N3CCN(C(=O)c4ccco4)CC3)c(O)nc12,475.55300000000034,3.1307200000000024,1.0,8.0
CHEMBL1455209,inactive,4.301029995663981,Cc1nnc(SCC(=O)Nc2sc(C)c(C)c2C#N)nc1O,335.4140000000001,2.16644,2.0,8.0
CHEMBL1307842,inactive,4.979336308377746,Cc1sc(NC(=O)CSc2nnc(-c3ccc(F)cc3)o2)c(C#N)c1C,388.4490000000001,4.156520000000003,1.0,7.0
CHEMBL1528716,inactive,4.348743313486691,Cc1sc(NC(=O)CSc2nnc(-c3ccccc3)o2)c(C#N)c1C,370.4590000000001,4.017420000000002,1.0,7.0
CHEMBL1322572,inactive,4.301029995663981,Cc1sc(NC(=O)CSc2nnc(COc3ccc(Cl)cc3)n2C)c(C#N)c1C,447.9730000000001,4.328320000000003,1.0,7.0
CHEMBL1437943,inactive,4.301029995663981,Cc1sc(NC(=O)CSc2nnc3scc(-c4ccccc4)n23)c(C#N)c1C,425.5640000000002,4.738620000000004,1.0,7.0
CHEMBL1425173,inactive,4.301029995663981,N#Cc1c(NC(=O)CCN2C(=O)c3ccccc3C2=O)oc(-c2ccccc2)c1-c1ccccc1,461.47700000000015,5.110080000000004,1.0,5.0
CHEMBL1528655,inactive,4.301029995663981,N#Cc1c(NC(=O)CSc2ncnc3c2cnn3-c2ccccc2Cl)sc2c1CCCC2,481.0060000000003,5.011680000000003,1.0,7.0
CHEMBL1578559,inactive,4.301029995663981,N#Cc1c(NC(=O)CSc2nnnn2C2CCCCC2)sc2c1CCCC2,402.5490000000003,3.7210800000000024,1.0,7.0
CHEMBL1560511,inactive,4.301029995663981,Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,309.209,3.7342000000000013,2.0,2.0
CHEMBL1383713,inactive,4.301029995663981,Nc1nn(S(=O)(=O)c2cccc3nsnc23)cc1-c1ccc(Br)cc1,436.3160000000001,3.1365000000000016,1.0,7.0
CHEMBL1535124,inactive,4.413874237738953,O=C(CSc1nc2c(c(=O)n1-c1ccc(Cl)cc1)SCC2)Nc1ccc2c(c1)OCCO2,487.9900000000003,4.036100000000002,1.0,7.0
CHEMBL1451988,inactive,4.301029995663981,O=C(NCc1ccccc1)c1cnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc2c1O,491.5250000000003,3.4424000000000023,3.0,7.0
CHEMBL1607205,inactive,4.301029995663981,O=C(NCc1ccco1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Br)cc1)N2,469.2610000000001,4.828900000000003,2.0,4.0
CHEMBL1527746,inactive,4.690881068044441,O=C(NCc1ccco1)c1cc2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2n1,430.3420000000001,3.666800000000002,1.0,6.0
CHEMBL1601197,inactive,4.301029995663981,O=C(Nc1nnc(-c2ccco2)s1)C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,452.94500000000016,3.4909000000000017,1.0,7.0
CHEMBL1460841,inactive,4.631283682832057,O=C(c1ccco1)[C@@H]1[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]2C2c3ccccc3C=CN21,410.4290000000001,3.677900000000003,0.0,5.0
CHEMBL1529788,inactive,4.301029995663981,O=C1CC(c2ccoc2)CC(Nc2ccccc2)=C1C(=O)Nc1ccccc1,372.4240000000001,4.7310000000000025,2.0,4.0
CHEMBL1563909,inactive,4.737957291565652,O=S(=O)(c1cccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)c1)N1CCCCC1,489.62300000000033,2.6317000000000013,0.0,6.0
CHEMBL1361464,inactive,4.301029995663981,Oc1nc(SCc2ccc(F)cc2)nc2c1cnn2-c1ccc(F)cc1,370.38400000000007,4.091600000000002,1.0,5.0
